东外公馆|(东城工体)新中街乙12号, 新中东街3号院|56897|2007年建成|塔板结合|3.8元/平米/月|北京市北宇物业管理公司|北京融金智强投资管理有限公司|2栋
温馨家园|(西城木樨地)西便门外大街4号院|135669|1999年建成|塔楼/板楼|1.2元/平米/月|北京市广播电影电视局|北京市广播电影电视局|6栋
太仆寺33号院|(西城西单)太仆寺33号院|132196|2000年建成|板楼/平房|1.5元/平米/月|暂无信息|无开发公司|5栋
安德路55号院|(东城安定门)安德路55号院|77427|1958年建成|塔楼/板楼|暂无信息|北京中水物业管理有限公司|暂无信息|43栋
三里河东路|(西城月坛)三里河东路三里河东路|102993|1987年建成|塔楼/板楼/塔板结合|1.2至2.3元/平米/月|北京安恒泰物业管理有限公司|无开发商|6栋
德胜世嘉|(西城六铺炕)西绦胡同8号|143330|2002年建成|板楼|1.5元/平米/月|单位自管物业|北京福源丽景地产开发有限公司|1栋
长安太和|(东城建国门内)建国门内大街甲11号|84685|2012年建成|板楼|9.68元/平米/月|合生华府酒店管理公司|北京利山房地产开发有限公司|1栋
北河沿大街|(东城灯市口)北河沿大街|103576|1985年建成|塔楼/板楼/平房|0.5至0.58元/平米/月|北京同心物业管理有限公司|北京住总房地产开发有限责任公司|18栋
外交部街33号院|(东城建国门内)外交部街33号院|136935|1988年建成|板楼|2.3元/平米/月|北京茂苑物业管理有限公司|暂无信息|12栋
永康胡同5号院|(东城安定门)永康胡同5号院|127463|1982年建成|板楼|暂无信息|北京首华物业管理有限公司|无开发商|3栋
朝阳门北大街|(东城朝阳门外)朝阳门北大街|77896|1987年建成|塔楼|0.8至1.2元/平米/月|单位自管物业|无开发商|2栋
八大处甲1号院|(石景山苹果园)石景山区八大处甲1号|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|1栋
点石商务公园|(石景山苹果园)石景山八大处路45号, 八大处路49号院|暂无参考均价|暂无信息|未知类型|暂无信息|暂无信息|暂无信息|3栋
康鸿家园|(东城和平里)安定门外大街44号院|91466|2000年建成|板楼|2.3元/平米/月|鑫百盛物业|北京市东城区住宅建设开发公司|3栋
天宁寺西里|(西城天宁寺)天宁寺西里|84510|1979年建成|板楼|0.9至1.5元/平米/月|北京天华物业管理有限公司|北京华电房地产开发有限责任公司|10栋
广安苑二期|(西城天宁寺)车站东街13号院|97725|2002年建成|塔楼|暂无信息|单位自管物业|北京住总集团有限责任公司|2栋
塔院胡同12号院|(西城六铺炕)塔院胡同12号院|112884|1983年建成|板楼|暂无信息|房管所代管物业|水利电力规划院|8栋
灵境胡同|(西城西单)灵境胡同|141422|1959年建成|板楼/平房|1.1元/平米/月|暂无信息|无开发商|15栋
